,pair,accuracy,precision@1,precision@3,precision@5,precision@10,precision@30,MAP
0,g5-->g4,0.9069767441860465,0.9534883720930233,0.9883720930232558,1.0,1.0,1.0,0.9732558139534884
1,g5-->g3,0.8809523809523809,0.9285714285714286,0.9642857142857143,0.9761904761904762,0.9761904761904762,0.9880952380952381,0.9485049396102528
2,g5-->g2,0.8536585365853658,0.9024390243902439,0.9390243902439024,0.9390243902439024,0.9390243902439024,0.975609756097561,0.9226138006941458
3,g5-->g1,0.8488372093023255,0.8837209302325582,0.9418604651162791,0.9534883720930233,0.9767441860465116,0.9767441860465116,0.9175189731654061
4,g5-->g0,0.8064516129032258,0.8387096774193549,0.9354838709677419,0.9354838709677419,0.9354838709677419,0.946236559139785,0.8869171352494688
5,g4-->g5,0.9534883720930233,0.9651162790697675,0.9883720930232558,1.0,1.0,1.0,0.9796511627906976
6,g4-->g3,0.9069767441860465,0.9418604651162791,0.9651162790697675,0.9651162790697675,0.9651162790697675,0.9767441860465116,0.9543267519499289
7,g4-->g2,0.9518072289156626,0.9759036144578314,1.0,1.0,1.0,1.0,0.9859437751004018
8,g4-->g1,0.9195402298850575,0.9540229885057471,0.9770114942528736,0.9885057471264368,0.9885057471264368,0.9885057471264368,0.9668035030103994
9,g4-->g0,0.8064516129032258,0.8602150537634409,0.9354838709677419,0.9354838709677419,0.956989247311828,0.956989247311828,0.8973036901374924
10,g3-->g5,0.8809523809523809,0.9166666666666666,0.9761904761904762,0.9761904761904762,0.9880952380952381,1.0,0.9443783068783068
11,g3-->g4,0.9069767441860465,0.9302325581395349,0.9651162790697675,0.9651162790697675,0.9651162790697675,0.9767441860465116,0.9469907845073281
12,g3-->g2,0.9012345679012346,0.9259259259259259,0.9506172839506173,0.9506172839506173,0.9629629629629629,0.9629629629629629,0.9401098227575769
13,g3-->g1,0.8928571428571429,0.9047619047619048,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9761904761904762,0.9285602398854278
14,g3-->g0,0.7912087912087912,0.8681318681318682,0.9560439560439561,0.9560439560439561,0.989010989010989,0.989010989010989,0.9154674690388976
15,g2-->g5,0.8292682926829268,0.8414634146341463,0.926829268292683,0.926829268292683,0.9390243902439024,0.9390243902439024,0.887309066272481
16,g2-->g4,0.963855421686747,0.9879518072289156,1.0,1.0,1.0,1.0,0.9939759036144579
17,g2-->g3,0.9012345679012346,0.9259259259259259,0.9506172839506173,0.9506172839506173,0.9506172839506173,0.9629629629629629,0.939849379462906
18,g2-->g1,0.8414634146341463,0.8658536585365854,0.9878048780487805,0.9878048780487805,0.9878048780487805,1.0,0.9258130081300812
19,g2-->g0,0.8539325842696629,0.8876404494382022,0.9325842696629213,0.9438202247191011,0.9550561797752809,0.9550561797752809,0.9112788917747393
20,g1-->g5,0.8953488372093024,0.8604651162790697,0.9418604651162791,0.9651162790697675,0.9651162790697675,0.9883720930232558,0.8989441652232351
21,g1-->g4,0.9540229885057471,0.9655172413793104,0.9885057471264368,0.9885057471264368,0.9885057471264368,0.9885057471264368,0.9752599890530925
22,g1-->g3,0.8928571428571429,0.9166666666666666,0.9404761904761905,0.9404761904761905,0.9642857142857143,0.9880952380952381,0.9332937050047705
23,g1-->g2,0.8048780487804879,0.8902439024390244,0.9634146341463414,0.975609756097561,1.0,1.0,0.9330429732868758
24,g1-->g0,0.9354838709677419,0.946236559139785,0.956989247311828,0.956989247311828,0.956989247311828,0.956989247311828,0.9506934249134142
25,g0-->g5,0.8602150537634409,0.9032258064516129,0.9247311827956989,0.946236559139785,0.956989247311828,0.956989247311828,0.9220841691561961
26,g0-->g4,0.9247311827956989,0.9247311827956989,0.946236559139785,0.946236559139785,0.946236559139785,0.956989247311828,0.9367697916652108
27,g0-->g3,0.8901098901098901,0.9340659340659341,0.989010989010989,0.989010989010989,0.989010989010989,1.0,0.9586603872318158
28,g0-->g2,0.8202247191011236,0.8089887640449438,0.9550561797752809,0.9550561797752809,0.9550561797752809,0.9550561797752809,0.8792873307594099
29,g0-->g1,0.9032258064516129,0.946236559139785,0.978494623655914,0.989247311827957,0.989247311827957,0.989247311827957,0.9611559139784945
