,pair,accuracy,precision@1,precision@3,precision@5,precision@10,precision@30,MAP
0,g0-->g1,0.978494623655914,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.9682650418923472
1,g0-->g2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,g0-->g3,0.9895833333333334,0.9895833333333334,0.9895833333333334,0.9895833333333334,0.9895833333333334,0.9895833333333334,0.9898373983739838
3,g0-->g4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,g0-->g5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,g1-->g0,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.978494623655914,0.9691668384684536
6,g1-->g2,0.9772727272727273,0.9772727272727273,0.9772727272727273,0.9886363636363636,0.9886363636363636,1.0,0.9801136363636364
7,g1-->g3,1.0,0.9888888888888889,0.9888888888888889,0.9888888888888889,1.0,1.0,0.9907407407407408
8,g1-->g4,0.9885057471264368,0.9885057471264368,0.9885057471264368,0.9885057471264368,0.9885057471264368,1.0,0.9890530925013684
9,g1-->g5,0.9767441860465116,0.9767441860465116,0.9767441860465116,0.9767441860465116,0.9767441860465116,0.9767441860465116,0.9772981795653832
10,g2-->g0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,g2-->g1,0.9772727272727273,0.9772727272727273,0.9886363636363636,0.9886363636363636,0.9886363636363636,0.9886363636363636,0.9812878787878787
12,g2-->g3,0.989010989010989,0.989010989010989,0.989010989010989,0.989010989010989,0.989010989010989,0.989010989010989,0.9891402714932127
13,g2-->g4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,g2-->g5,0.9659090909090909,0.9886363636363636,0.9886363636363636,0.9886363636363636,0.9886363636363636,0.9886363636363636,0.9888167388167388
15,g3-->g0,0.9895833333333334,0.9895833333333334,0.9895833333333334,0.9895833333333334,0.9895833333333334,0.9895833333333334,0.9897629310344828
16,g3-->g1,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.9891252955082742
17,g3-->g2,0.989010989010989,0.989010989010989,0.989010989010989,0.989010989010989,0.989010989010989,0.989010989010989,0.9891500904159133
18,g3-->g4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,g3-->g5,0.9887640449438202,0.9775280898876404,0.9775280898876404,0.9775280898876404,0.9775280898876404,0.9775280898876404,0.9778799866939021
20,g4-->g0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,g4-->g1,0.9885057471264368,0.9885057471264368,0.9885057471264368,0.9885057471264368,0.9885057471264368,0.9885057471264368,0.9887669801462906
22,g4-->g2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,g4-->g3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,g4-->g5,1.0,0.9885057471264368,0.9885057471264368,0.9885057471264368,0.9885057471264368,1.0,0.989272030651341
25,g5-->g0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,g5-->g1,0.9767441860465116,0.9767441860465116,0.9767441860465116,0.9767441860465116,0.9767441860465116,0.9883720930232558,0.9773791852218373
27,g5-->g2,0.9659090909090909,0.9659090909090909,0.9772727272727273,0.9772727272727273,0.9772727272727273,0.9886363636363636,0.9705066287878789
28,g5-->g3,0.9775280898876404,0.9775280898876404,0.9775280898876404,0.9775280898876404,0.9775280898876404,0.9887640449438202,0.978144096195545
29,g5-->g4,0.9885057471264368,0.9885057471264368,0.9885057471264368,0.9885057471264368,0.9885057471264368,1.0,0.9890530925013684
